"Reference","Qty","Description","Value","Manufacturer 1","Manufacturer Part Number 1"
"C1","1","CAP CER 10000PF 100V C0G 1206","10nF","Murata Electronics","GCM3195C2A103JA16D"
"C2,C4","2","CAP CER 0.1UF 50V X7R 0402","0.1 uF","Murata Electronics","GRM155R71H104KE14J"
"C3","1","CAP CER 1UF 50V X7R 1206","1uF","Murata Electronics","GRM31CR71H105KA61L"
"C5","1","CAP TANT 10UF 10% 16V 1206","10uF","KYOCERA AVX","TAJA106K016RNJ"
"D1","1","SENSOR PHOTODIODE 940NM 2SMD","VEMD2000X01","Vishay Semiconductor","VEMD2000X01"
"D2,D3,D4,D5","4","TVS DIODE 5V 15V SOD923","DF2S6.8MFS,L3M","Toshiba","DF2S6.8MFS,L3M"
"J1,J2","2","CONN HEADER SMD 4POS 1MM","BM04B-SRSS-TB","JST Sales America Inc.","BM04B-SRSS-TB"
"PCB1","1","PCB","3_20250920","",""
"R1","1","RES 3.01M OHM 1% 1/16W 0402","3.01M","Yageo","RC0402FR-073M01L"
"R2,R4,R5,R6","4","RES SMD 49.9 OHM 1% 1/16W 0402","49.9R","Yageo","RC0402FR-0749R9L"
"R3,R7","2","RES 47K OHM 1% 1/16W 0402","47k","Yageo","RC0402FR-0747KL"
"U1","1","IC OPAMP GP 1 CIRCUIT SC70-5","TLV9101IDCK","Texas Instruments","TLV9101IDCK"
"U2","1","IC ADC 16BIT SIGMA-DELTA 10VSSOP","ADS1114IDGS","Texas Instruments","ADS1114IDGSR"
