========================================================================================================================,,,,,,
File Design Information:,,,,,,
,,,,,,
Date:       23-10-22,,,,,,
Time:       11:21,,,,,,
Revision:   20,,,,,,
Variant:    DEV,,,,,,
Units used: mm,,,,,,
,,,,,,
Designator,Layer,Description,Footprint,Center-X(mm),Center-Y(mm),Rotation
R28,TopLayer,RES SMD 3.9 OHM 5% 1/2W 1206,R_1206_0.55mm,8.7,4.65,180
R27,TopLayer,RES SMD 3.9 OHM 5% 1/2W 1206,R_1206_0.55mm,9.7,-5,180
R26,TopLayer,RES SMD 3.9 OHM 5% 1/2W 1206,R_1206_0.55mm,8.7,6.85,180
R25,TopLayer,RES SMD 3.9 OHM 5% 1/2W 1206,R_1206_0.55mm,4.35,2.3,180
R24,TopLayer,RES SMD 3.9 OHM 5% 1/2W 1206,R_1206_0.55mm,4.35,4.6,180
R23,TopLayer,RES SMD 3.9 OHM 5% 1/2W 1206,R_1206_0.55mm,4.35,-2.3,180
R22,TopLayer,RES SMD 3.9 OHM 5% 1/2W 1206,R_1206_0.55mm,0,2.2,180
R21,TopLayer,RES SMD 3.9 OHM 5% 1/2W 1206,R_1206_0.55mm,0,0,180
R20,TopLayer,RES SMD 3.9 OHM 5% 1/2W 1206,R_1206_0.55mm,0,-2.2,180
R19,TopLayer,RES SMD 3.9 OHM 5% 1/2W 1206,R_1206_0.55mm,-4.35,2.3,180
R17,TopLayer,RES SMD 3.9 OHM 5% 1/2W 1206,R_1206_0.55mm,-4.35,4.6,180
R16,TopLayer,RES SMD 3.9 OHM 5% 1/2W 1206,R_1206_0.55mm,-4.35,-2.3,180
R14,TopLayer,RES SMD 3.9 OHM 5% 1/2W 1206,R_1206_0.55mm,-8.7,6.85,180
R13,TopLayer,RES SMD 3.9 OHM 5% 1/2W 1206,R_1206_0.55mm,-9.7,-5,180
R12,TopLayer,RES SMD 3.9 OHM 5% 1/2W 1206,R_1206_0.55mm,-8.7,4.65,180
J1,TopLayer,CONN FFC FPC TOP 7POS 1.00MM R/A,CONN_0522070760_2.7mm,0,-6.525,0
R9,TopLayer,RES SMD 10K OHM 1% 1/16W 0402,R_0402_0.35mm,6,10.03,270
U1,TopLayer,IC TEMP SENSOR,IC_TMP1075DSGR_0.8MM,4.225,9.525,0
MTL2,TopLayer,RND STANDOFF M2.5X0.45 STEEL 3MM,MTL_9774030151R,10,0,0
MTL1,TopLayer,RND STANDOFF M2.5X0.45 STEEL 3MM,MTL_9774030151R,-10,0,0
U2,TopLayer,HALL EFFECT SENSOR,IC_DRV5021A3QDBZR_1.2mm,0,5.275,0
C4,TopLayer,CAP CER 0.1UF 50V X7R 0402,C_0402_0.7mm,-2.75,7.3,0
C3,TopLayer,CAP CER 2.2UF 25V X5R 0603,C_0603_1.0mm,-3.375,8.6,0
C2,TopLayer,CAP CER 0.1UF 50V X7R 0402,C_0402_0.7mm,2.4,10.575,270
C1,TopLayer,CAP CER 2.2UF 25V X5R 0603,C_0603_1.0mm,1.125,10.9,270
